Time,Longitude,Latitude,ortho_mavg
2022-07-17T18:51:53.703,-115.551903,36.066699,9104.8
2022-07-17T18:51:54.797,-115.552204,36.067278,9114.8
2022-07-17T18:51:55.898,-115.552418,36.067922,9144.8
2022-07-17T18:51:56.922,-115.55259,36.068609,9159.8
2022-07-17T18:51:57.805,-115.552611,36.069188,9189.8
2022-07-17T18:51:58.922,-115.55259,36.069896,9204.8
2022-07-17T18:51:59.914,-115.552547,36.07054,9214.8
2022-07-17T18:52:01.039,-115.552375,36.071227,9229.8
2022-07-17T18:52:02.016,-115.552096,36.071849,9239.8
2022-07-17T18:52:03.086,-115.551732,36.072471,9229.8
2022-07-17T18:52:04.094,-115.551345,36.073008,9239.8
2022-07-17T18:52:05.156,-115.550745,36.073608,9249.8
2022-07-17T18:52:06.008,-115.550294,36.07408,9254.8
2022-07-17T18:52:07.094,-115.549629,36.074488,9259.8
2022-07-17T18:52:08.063,-115.548942,36.074896,9264.8
2022-07-17T18:52:08.992,-115.548298,36.075196,9264.8
2022-07-17T18:52:09.891,-115.547612,36.075432,9269.8
2022-07-17T18:52:11.055,-115.54671,36.075711,9274.8
2022-07-17T18:52:12.008,-115.545895,36.07584,9279.8
2022-07-17T18:52:13.008,-115.54508,36.075926,9284.8
2022-07-17T18:52:14.617,-115.543749,36.07599,9289.8
2022-07-17T18:52:15.648,-115.542934,36.075904,9284.8
2022-07-17T18:52:16.695,-115.542119,36.075797,9279.8
2022-07-17T18:52:17.719,-115.54126,36.075583,9274.8
2022-07-17T18:52:18.664,-115.540531,36.075389,9249.8
2022-07-17T18:52:19.625,-115.539758,36.075196,9239.8
2022-07-17T18:52:20.641,-115.538986,36.074939,9234.8
2022-07-17T18:52:21.711,-115.538063,36.074703,9229.8
2022-07-17T18:52:22.805,-115.537183,36.074445,9224.8
2022-07-17T18:52:23.891,-115.536411,36.074166,9234.8
2022-07-17T18:52:25.023,-115.535445,36.073887,9229.8
2022-07-17T18:52:26.156,-115.534501,36.073608,9224.8
2022-07-17T18:52:27.109,-115.533707,36.073372,9219.8
2022-07-17T18:52:28.031,-115.532978,36.073158,9209.8
2022-07-17T18:52:28.977,-115.532227,36.0729,9204.8
2022-07-17T18:52:29.984,-115.531411,36.072686,9199.8
2022-07-17T18:52:30.984,-115.530596,36.07245,9194.8
2022-07-17T18:52:31.961,-115.52978,36.072171,9184.8
2022-07-17T18:52:32.898,-115.529029,36.071956,9179.8
2022-07-17T18:52:34.055,-115.528042,36.071634,9174.8
2022-07-17T18:52:35.117,-115.527141,36.071355,9164.8
2022-07-17T18:52:36.102,-115.526326,36.071098,9154.8
2022-07-17T18:52:37.156,-115.525446,36.070819,9144.8
2022-07-17T18:52:38.297,-115.524502,36.070497,9134.8
2022-07-17T18:52:39.305,-115.523579,36.070218,9119.8
2022-07-17T18:52:40.453,-115.522678,36.069896,9109.8
2022-07-17T18:52:41.422,-115.52182,36.06966,9099.8
2022-07-17T18:52:42.305,-115.521069,36.069403,9094.8
2022-07-17T18:52:43.266,-115.520275,36.069124,9084.8
2022-07-17T18:52:44.273,-115.519416,36.068845,9079.8
2022-07-17T18:52:45.320,-115.518494,36.068587,9074.8
2022-07-17T18:52:46.383,-115.517614,36.068308,9069.8
2022-07-17T18:52:47.328,-115.516734,36.068029,9064.8
2022-07-17T18:52:48.258,-115.515983,36.067793,9059.8
2022-07-17T18:52:49.164,-115.515168,36.067557,9054.8
2022-07-17T18:52:50.156,-115.514352,36.067321,9049.8
2022-07-17T18:52:51.133,-115.513473,36.067042,9044.8
2022-07-17T18:52:52.203,-115.512464,36.066763,9039.8
2022-07-17T18:52:53.320,-115.511563,36.066463,9044.8
2022-07-17T18:52:54.352,-115.510726,36.066206,9049.8
2022-07-17T18:52:55.195,-115.510082,36.065969,9054.8
2022-07-17T18:52:56.031,-115.509331,36.065733,9064.8
2022-07-17T18:52:57.102,-115.50843,36.065412,9074.8
2022-07-17T18:52:58.227,-115.507507,36.06509,9079.8
2022-07-17T18:52:59.266,-115.506713,36.064811,9089.8
2022-07-17T18:53:00.289,-115.505898,36.064553,9099.8
2022-07-17T18:53:01.406,-115.504932,36.064253,9104.8
2022-07-17T18:53:02.453,-115.504138,36.063995,9109.8
2022-07-17T18:53:03.445,-115.503323,36.063716,9114.8
2022-07-17T18:53:04.469,-115.502529,36.063437,9114.8
2022-07-17T18:53:05.453,-115.501735,36.063223,9114.8
2022-07-17T18:53:06.438,-115.500877,36.062987,9114.8
2022-07-17T18:53:07.547,-115.500019,36.062708,9109.8
2022-07-17T18:53:08.500,-115.499203,36.062493,9104.8
2022-07-17T18:53:09.648,-115.498302,36.062214,9099.8
2022-07-17T18:53:11.141,-115.4971,36.061914,9094.8
2022-07-17T18:53:12.094,-115.496349,36.061742,9089.8
2022-07-17T18:53:13.570,-115.495062,36.061549,9084.8
2022-07-17T18:53:14.523,-115.494246,36.061463,9079.8
2022-07-17T18:53:15.609,-115.493238,36.06142,9069.8
2022-07-17T18:53:16.594,-115.492487,36.06142,9054.8
2022-07-17T18:53:17.500,-115.491714,36.061442,9039.8
2022-07-17T18:53:18.680,-115.49062,36.061571,9024.8
2022-07-17T18:53:19.719,-115.489676,36.061742,8999.8
2022-07-17T18:53:20.742,-115.488753,36.061914,8974.8
2022-07-17T18:53:21.820,-115.487831,36.062214,8949.8
2022-07-17T18:53:22.781,-115.487058,36.062472,8924.8
2022-07-17T18:53:23.883,-115.486114,36.062858,8884.8
2022-07-17T18:53:25.500,-115.484741,36.063545,8839.8
2022-07-17T18:53:26.484,-115.48399,36.06391,8789.8
2022-07-17T18:53:27.539,-115.483088,36.064446,8759.8
2022-07-17T18:53:28.570,-115.482316,36.064939,8699.8
2022-07-17T18:53:29.617,-115.481501,36.065562,8644.8
