time,Longitude,Latitude,ortho_spline
2022-07-17T18:48:58.883,-115.107493,36.345756,7350.38509762458
2022-07-17T18:48:59.969,-115.108631,36.344748,7318.78114746593
2022-07-17T18:49:01.086,-115.109725,36.343696,7286.28811706338
2022-07-17T18:49:02.219,-115.110862,36.342688,7253.33252614098
2022-07-17T18:49:03.133,-115.111892,36.341765,7226.75218870765
2022-07-17T18:49:04.125,-115.112922,36.340842,7197.91454483893
2022-07-17T18:49:05.055,-115.113802,36.340027,7170.89807564916
2022-07-17T18:49:06.125,-115.114918,36.339018,7139.84730107704
2022-07-17T18:49:06.992,-115.115712,36.338289,7114.71945353144
2022-07-17T18:49:07.922,-115.116699,36.337366,7099.7658308669
2022-07-17T18:49:09.273,-115.117965,36.336164,7048.66669902332
2022-07-17T18:49:10.219,-115.118866,36.335349,7021.2658777473
2022-07-17T18:49:11.047,-115.119703,36.334534,6997.29012479478
2022-07-17T18:49:12.094,-115.120711,36.333611,6967.01503478634
2022-07-17T18:49:13.703,-115.122235,36.332152,6914.59816746556
2022-07-17T18:49:14.867,-115.123394,36.331036,6887.20410912705
2022-07-17T18:49:15.945,-115.124424,36.330049,6864.2201678853
2022-07-17T18:49:16.883,-115.12526,36.329234,6814.40917038584
2022-07-17T18:49:17.797,-115.126076,36.328397,6803.06789553721
2022-07-17T18:49:18.844,-115.127127,36.32741,6772.89804246702
2022-07-17T18:49:19.883,-115.128071,36.326487,6740.60809270362
2022-07-17T18:49:20.969,-115.129058,36.325479,6711.43376836591
2022-07-17T18:49:22.086,-115.13011,36.32447,6679.04980428346
2022-07-17T18:49:23.219,-115.131118,36.323504,6639.8976615435
2022-07-17T18:49:24.133,-115.13202,36.322582,6619.69009789434
2022-07-17T18:49:25.586,-115.133286,36.321294,6577.59934717344
2022-07-17T18:49:26.633,-115.134315,36.320329,6547.27054196024
2022-07-17T18:49:27.563,-115.135109,36.319513,6520.30418856087
2022-07-17T18:49:28.508,-115.135968,36.318698,6492.86578518855
2022-07-17T18:49:29.336,-115.136783,36.317925,6468.78839126547
2022-07-17T18:49:30.273,-115.137599,36.317132,6441.49405987823
2022-07-17T18:49:31.633,-115.138886,36.315866,6401.80198667383
2022-07-17T18:49:32.547,-115.139701,36.315072,6375.09599502587
2022-07-17T18:49:33.695,-115.140688,36.314106,6341.5635468844
2022-07-17T18:49:34.703,-115.141633,36.313205,6296.26461016983
2022-07-17T18:49:35.867,-115.142684,36.312132,6262.62972281816
2022-07-17T18:49:36.945,-115.143692,36.311145,6262.62972281816
2022-07-17T18:49:37.883,-115.144486,36.310329,6219.72162124563
2022-07-17T18:49:38.797,-115.145237,36.309536,6193.19728588538
2022-07-17T18:49:39.844,-115.146182,36.308548,6162.84467449107
2022-07-17T18:49:40.828,-115.146997,36.307626,6134.34249282828
2022-07-17T18:49:41.695,-115.147705,36.306875,6109.24001110277
2022-07-17T18:49:42.625,-115.14852,36.305952,6082.31391299123
2022-07-17T18:49:43.539,-115.149186,36.305094,6055.84391297387
2022-07-17T18:49:44.688,-115.150108,36.304085,6022.55498263358
2022-07-17T18:49:45.695,-115.150859,36.303163,5993.35084749187
2022-07-17T18:49:46.859,-115.151739,36.302004,5959.52632862391
2022-07-17T18:49:47.938,-115.152512,36.300931,5928.0794178252
2022-07-17T18:49:48.875,-115.153134,36.30003,5900.68863423549
2022-07-17T18:49:49.789,-115.153778,36.299193,5873.89185858694
2022-07-17T18:49:51.336,-115.15485,36.297584,5828.35134604826
2022-07-17T18:49:52.484,-115.155602,36.296511,5794.39513093114
2022-07-17T18:49:53.492,-115.156181,36.295524,5764.44559366652
2022-07-17T18:49:54.656,-115.156932,36.294322,5729.74599986057
2022-07-17T18:49:55.734,-115.157597,36.293206,5697.55873572185
2022-07-17T18:49:56.672,-115.158112,36.292305,5669.56104943524
2022-07-17T18:49:57.586,-115.158627,36.291404,5642.32687817688
2022-07-17T18:49:58.633,-115.159271,36.290309,5611.19918880002
2022-07-17T18:49:59.563,-115.159786,36.289408,5583.5972218646
2022-07-17T18:50:00.508,-115.160322,36.288486,5555.6909210256
2022-07-17T18:50:01.336,-115.160816,36.287563,5531.28664946945
2022-07-17T18:50:02.328,-115.161374,36.286554,5502.12081143509
2022-07-17T18:50:03.258,-115.16191,36.285653,5474.82771112958
2022-07-17T18:50:04.328,-115.162532,36.284537,5443.47139989563
2022-07-17T18:50:05.195,-115.162983,36.283722,5434.76773187679
2022-07-17T18:50:06.125,-115.163498,36.282713,5390.88438378963
2022-07-17T18:50:07.039,-115.164013,36.281834,5364.15249248071
2022-07-17T18:50:08.188,-115.164635,36.280739,5330.54002603962
2022-07-17T18:50:09.195,-115.165215,36.279731,5301.06581298878
2022-07-17T18:50:10.359,-115.165837,36.278551,5266.98580453182
2022-07-17T18:50:11.438,-115.166459,36.277413,5235.40306568023
2022-07-17T18:50:12.336,-115.166996,36.276534,5209.14186076469
2022-07-17T18:50:13.484,-115.167575,36.275418,5173.8391814613
2022-07-17T18:50:14.492,-115.168154,36.274431,5113.76600292765
2022-07-17T18:50:15.664,-115.168798,36.273229,5112.09765061028
2022-07-17T18:50:16.742,-115.169399,36.272135,5080.70675438047
2022-07-17T18:50:17.688,-115.169914,36.271276,5053.16790397384
2022-07-17T18:50:18.594,-115.170429,36.270354,5026.7926935541
2022-07-17T18:50:19.648,-115.17103,36.269259,4996.09097800541
2022-07-17T18:50:20.578,-115.171502,36.26838,4920.14156830799
2022-07-17T18:50:21.516,-115.171952,36.2675,4920.52762956338
2022-07-17T18:50:22.344,-115.172489,36.266599,4900.28938850146
2022-07-17T18:50:23.508,-115.173068,36.265547,4900.28938850146
2022-07-17T18:50:24.586,-115.173626,36.264453,4851.55577406615
2022-07-17T18:50:25.523,-115.174141,36.263487,4816.34354664248
2022-07-17T18:50:26.906,-115.174828,36.262243,4783.18684066688
2022-07-17T18:50:27.977,-115.175407,36.261148,4751.5488364695
2022-07-17T18:50:28.844,-115.175879,36.26029,4725.90677527892
2022-07-17T18:50:29.773,-115.176308,36.25941,4698.41005654819
2022-07-17T18:50:30.688,-115.176759,36.258552,4671.33122236831
2022-07-17T18:50:31.836,-115.177381,36.257393,4637.42213073542
2022-07-17T18:50:32.844,-115.177853,36.256471,4607.76696151859
2022-07-17T18:50:33.758,-115.178325,36.255612,4580.99636452202
2022-07-17T18:50:34.906,-115.178862,36.254561,4547.37683091676
2022-07-17T18:50:35.914,-115.179312,36.253574,4518.19090574796
2022-07-17T18:50:37.633,-115.180192,36.251857,4470.06976122146
2022-07-17T18:50:38.555,-115.1806,36.251042,4441.57095263269
2022-07-17T18:50:39.547,-115.181072,36.250076,4402.53222916537
2022-07-17T18:50:40.477,-115.181415,36.249197,4385.26762661584
2022-07-17T18:50:41.547,-115.18193,36.248145,4354.78739944703
2022-07-17T18:50:42.414,-115.182273,36.247416,4329.50751167207
2022-07-17T18:50:43.344,-115.182724,36.24645,4302.29470758565
2022-07-17T18:50:44.508,-115.183239,36.245377,4268.12586899338
2022-07-17T18:50:45.586,-115.18369,36.244347,4236.45131538802
2022-07-17T18:50:46.977,-115.184269,36.243017,4230.04058479753
2022-07-17T18:50:47.906,-115.184698,36.24218,4168.58636166034
2022-07-17T18:50:48.977,-115.185127,36.24115,4106.62322071767
2022-07-17T18:50:49.844,-115.185513,36.240313,4092.87826625371
2022-07-17T18:50:50.773,-115.185878,36.239455,4085.97367530687
2022-07-17T18:50:51.688,-115.186265,36.238639,4059.93748710371
2022-07-17T18:50:52.836,-115.186737,36.237481,4027.53438303694
2022-07-17T18:50:53.844,-115.187209,36.236537,3999.56445368137
2022-07-17T18:50:54.773,-115.187531,36.2357,3973.69157857911
2022-07-17T18:50:55.719,-115.187917,36.234863,3947.82448359138
2022-07-17T18:50:56.547,-115.188324,36.234047,3925.43721845693
2022-07-17T18:50:57.594,-115.188668,36.233103,3897.48787400143
2022-07-17T18:50:58.680,-115.18914,36.232073,3853.92172443403
2022-07-17T18:50:59.797,-115.18959,36.231086,3853.92172443403
2022-07-17T18:51:00.930,-115.190041,36.229928,3811.14323945068
2022-07-17T18:51:01.844,-115.190427,36.229134,3792.49857609075
2022-07-17T18:51:02.836,-115.190835,36.228211,3770.85514913589
2022-07-17T18:51:03.766,-115.1912,36.227374,3748.6540761404
2022-07-17T18:51:04.898,-115.191586,36.226344,3728.44321328295
2022-07-17T18:51:05.805,-115.191929,36.22555,3711.26246238644
2022-07-17T18:51:06.859,-115.192358,36.22452,3695.01058826289
2022-07-17T18:51:07.789,-115.192745,36.223705,3677.4780476287
2022-07-17T18:51:23.117,-115.198367,36.210294,3630.1044073664
2022-07-17T18:51:24.273,-115.198839,36.209264,3624.92061774278
2022-07-17T18:51:25.359,-115.199203,36.208384,3619.79408358299
2022-07-17T18:51:26.344,-115.199611,36.207547,3615.01037832224
2022-07-17T18:51:27.273,-115.19989,36.206796,3611.41466469773
2022-07-17T18:51:28.344,-115.200298,36.205895,3604.91563389496
2022-07-17T18:51:29.219,-115.200577,36.205251,3597.96463172683
2022-07-17T18:51:30.148,-115.20092,36.204479,3597.96463172683
2022-07-17T18:51:31.055,-115.201242,36.203771,3590.7564534182
2022-07-17T18:51:32.203,-115.201607,36.202891,3584.43313148742
2022-07-17T18:51:34.938,-115.202529,36.200724,3567.51474671007
