totsec,true_course_deg,hdg_deg_T,pitch_deg,bank_deg
18:48:42.398,139.209087,139.209087,-1.215158,-2.273267
18:48:43.594,139.219153,139.219153,-1.407588,-1.262574
18:48:44.398,139.401284,139.401284,-1.587146,0.060100
18:48:45.195,139.757241,139.757241,-1.725724,1.330521
18:48:46.195,140.278258,140.278258,-1.808118,2.401032
18:48:47.398,140.904768,140.904768,-1.834911,3.008412
18:48:48.398,141.591991,141.591991,-1.819823,3.334811
18:48:49.195,142.269439,142.269439,-1.790739,3.345755
18:48:50.398,142.894779,142.894779,-1.775645,3.171201
18:48:51.398,143.406443,143.406443,-1.791387,2.712432
18:48:52.594,143.861073,143.861073,-1.836518,2.562073
18:48:53.797,144.293750,144.293750,-1.899689,2.656030
18:48:54.398,144.716654,144.716654,-1.971337,2.843924
18:48:55.797,145.141299,145.141299,-2.051804,3.128221
18:48:56.797,145.575606,145.575606,-2.145589,3.531466
18:48:57.797,146.061773,146.061773,-2.257531,3.957823
18:48:58.195,146.632388,146.632388,-2.385369,4.063441
18:48:59.398,147.381253,147.381253,-2.518975,3.938406
18:49:01.195,148.441151,148.441151,-2.661116,3.940948
18:49:02.594,149.963463,149.963463,-2.837370,4.640118
18:49:04.398,152.139950,152.139950,-3.086451,6.615140
18:49:05.195,155.224317,155.224317,-3.440438,10.223047
18:49:06.398,159.457832,159.457832,-3.890504,15.127721
18:49:07.594,164.866287,164.866287,-4.404182,20.490643
18:49:08.797,171.264622,171.264622,-4.940220,24.905374
18:49:09.594,178.380866,178.380866,-5.446900,27.752456
18:49:10.398,185.926078,185.926078,-5.865597,28.975963
18:49:12.797,193.588526,193.588526,-6.121986,29.188158
18:49:13.398,201.035952,201.035952,-6.177363,28.638547
18:49:14.594,208.045871,208.045871,-6.019359,27.780419
18:49:15.398,214.416985,214.416985,-5.669646,26.241733
18:49:16.797,219.974699,219.974699,-5.171291,23.917100
18:49:17.195,224.587759,224.587759,-4.594320,20.905377
18:49:18.797,228.234413,228.234413,-4.048883,17.556821
18:49:19.594,230.984745,230.984745,-3.631067,13.935909
18:49:20.195,232.901686,232.901686,-3.391736,10.400923
18:49:21.195,234.171123,234.171123,-3.323609,7.580350
18:49:22.797,234.991168,234.991168,-3.374544,5.713738
18:49:23.398,235.555963,235.555963,-3.492371,4.527878
18:49:24.195,236.005757,236.005757,-3.621357,3.802080
18:49:25.398,236.417444,236.417444,-3.724314,3.136552
18:49:26.398,236.935361,236.935361,-3.772255,3.089698
18:49:27.594,237.586857,237.586857,-3.749919,3.272174
18:49:28.797,238.472966,238.472966,-3.653579,4.201969
18:49:29.797,239.717262,239.717262,-3.489342,6.043572
18:49:30.594,241.522002,241.522002,-3.273756,9.139374
18:49:31.398,244.098362,244.098362,-3.023452,13.379125
18:49:32.797,247.609367,247.609367,-2.754822,17.916387
18:49:33.398,252.064779,252.064779,-2.497335,21.699807
18:49:34.195,257.223887,257.223887,-2.294164,23.709967
18:49:35.797,262.627567,262.627567,-2.185525,23.622346
18:49:36.398,267.889578,267.889578,-2.183877,22.369032
18:49:37.797,272.748127,272.748127,-2.269791,20.581167
18:49:38.594,277.134040,277.134040,-2.405954,18.847631
18:49:39.398,281.007728,281.007728,-2.550127,16.805269
18:49:40.398,284.508958,284.508958,-2.663530,15.113015
18:49:41.594,287.868540,287.868540,-2.716471,14.205388
18:49:42.594,291.254152,291.254152,-2.698951,13.991028
18:49:43.594,294.645289,294.645289,-2.622014,14.050443
18:49:44.797,297.879352,297.879352,-2.505569,13.642896
18:49:45.594,300.746491,300.746491,-2.362924,12.583222
18:49:46.594,303.106698,303.106698,-2.194935,11.001623
18:49:47.797,304.972390,304.972390,-1.993813,9.488500
18:49:48.195,306.404332,306.404332,-1.757829,8.187501
18:49:49.797,307.493655,307.493655,-1.504071,7.268139
18:49:50.398,308.361324,308.361324,-1.264375,6.802049
18:49:51.594,309.092493,309.092493,-1.069280,6.440788
18:49:52.195,309.792032,309.792032,-0.938422,6.062382
18:49:53.594,310.501813,310.501813,-0.875300,5.377047
18:49:55.195,311.146268,311.146268,-0.880868,4.171146
18:49:56.195,311.562758,311.562758,-0.961221,2.503737
18:49:57.195,311.722206,311.722206,-1.131907,1.008967
18:49:58.195,311.735185,311.735185,-1.406226,0.271267
18:49:59.594,311.735175,311.735175,-1.786508,0.230577
18:50:00.594,311.854458,311.854458,-2.247291,0.829835
18:50:01.797,312.029303,312.029303,-2.742046,1.215331
18:50:02.797,312.258961,312.258961,-3.207210,1.655365
18:50:03.594,312.499178,312.499178,-3.578995,2.152889
18:50:04.594,312.685239,312.685239,-3.813079,2.655464
18:50:05.398,312.775639,312.775639,-3.895876,2.997394
18:50:06.797,312.727206,312.727206,-3.845077,2.796586
18:50:07.594,312.688801,312.688801,-3.707573,2.434234
18:50:08.797,312.759800,312.759800,-3.536108,1.786609
18:50:10.398,313.048624,313.048624,-3.379832,1.301846
18:50:11.797,313.587254,313.587254,-3.256053,1.075729
18:50:12.797,314.252120,314.252120,-3.158542,0.583957
18:50:13.797,314.980025,314.980025,-3.066499,-0.015652
18:50:14.398,315.627146,315.627146,-2.980337,-1.293167
18:50:15.195,316.048271,316.048271,-2.923519,-3.169747
18:50:16.797,316.100920,316.100920,-2.923549,-4.999635
